de	zh	fr	hi	it	ja	pt	ru	es
gefunden - found	发现-发现	trouvé - trouvé	पाया - पाया	trovato - trovato	見つかった - 見つかった	encontrado - encontrado	нашел - нашел	encontrado - encontrado
berichten - to report, reports		signaler - signaler, rapports	रिपोर्ट करना - रिपोर्ट करना, रिपोर्ट करना	riferire - riferire, rapporti	報告する - 報告する、報告する	relatar - relatar, relatórios	to report - сообщать, докладывать	informar - informar, informes
begriff - term	期限到期限	terme - terme	पद - पद	termine - termine	期間 - 期間	termo - termo	срок - срок	término - término
soweit - as far as, insofar	至此——至此，至此	dans la mesure où - dans la mesure où, dans la mesure	जहाँ तक - जहाँ तक, जहाँ तक	per quanto - per quanto, finora	限り - 限り、その限り	na medida em que - na medida em que, na medida em que	насколько - насколько, насколько	en la medida en que - en la medida en que, en la medida
bezeichnet - designated	指定 - 指定	désigné - désigné	नामित - नामित	designato - designato	指定 - 指定	designado - designado	назначенный - назначенный	designado - designado
enthalten - to contain, contained	包含 - 包含，包含	contenir - contenir, contenu	समाहित - समाहित करना, समाहित करना	contenere: contenere, contenuto	含む - 含む、含まれる	conter - conter, contido	содержать — содержать, содержать	contener - contener, contenido
gesamter - entire (genitive)	整个 - 整个（所有格）	entier - entier (génitif)	संपूर्ण - संपूर्ण (जननात्मक)	intero - intero (genitivo)	全体 - 全体 (属格)	inteiro - inteiro (genitivo)	весь - весь (родительный падеж)	entero - entero (genitivo)
aufbau - construction, structure	建筑 - 建筑、结构	construction - construction, structure	निर्माण - निर्माण, संरचना	costruzione - costruzione, struttura	建設 - 建設、構造	construção - construção, estrutura	строительство – строительство, сооружение	construcción - construcción, estructura
ausbildung - training, education	培训——培训、教育	formation - formation, éducation	प्रशिक्षण - प्रशिक्षण, शिक्षा	formazione - formazione, istruzione	トレーニング - トレーニング、教育	treinamento - treinamento, educação	обучение - обучение, образование	formación - formación, educación
schließt - closes, concludes	close——结束，结束	ferme - ferme, conclut	बंद होता है - बंद होता है, समाप्त होता है	chiude - chiude, conclude	閉じる - 閉じる、終了する	fecha - fecha, conclui	закрывается - закрывается, завершается	cierra - cierra, concluye
schuf - created	已创建-已创建	créé - créé	बनाया - बनाया	creato - creato	作成されました - 作成されました	criado - criado	создал - создал	creado - creado
zweck - purpose	目的-目的	but - but	उद्देश्य - उद्देश्य	scopo - scopo	目的 - 目的	propósito - propósito	цель - цель	propósito - propósito
betrachten - to consider, to view	考虑 - 考虑、查看	considérer - considérer, voir	विचार करना - विचार करना, देखना	considerare - considerare, vedere	考慮する - 検討する、見る	considerar - considerar, ver	рассмотреть - рассматривать, рассматривать	considerar - considerar, ver
erweitert - expanded, extended	扩展 - 扩展、扩展	élargi - élargi, étendu	विस्तारित - विस्तारित, विस्तारित	espanso - espanso, esteso	拡張された - 拡張された、拡張された	expandido - expandido, estendido	расширенный - расширенный, расширенный	expandido - expandido, extendido
übertragen - to transfer, to transmit	转移 - 转移、传输	transférer - transférer, transmettre	स्थानांतरित करना - स्थानांतरित करना, संचारित करना	trasferire - trasferire, trasmettere	転送する - 転送する、送信する	transferir - transferir, transmitir	передавать – передавать, передавать	transferir - transferir, transmitir
ausschließlich - exclusively	排他地——排他地	exclusivement - exclusivement	विशेष रूप से - विशेष रूप से	esclusivamente - esclusivamente	独占的に - 独占的に	exclusivamente - exclusivamente	исключительно - исключительно	exclusivamente - exclusivamente
